onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
28,川内高城温泉,鹿児島・薩摩川内,https://www.photo-ac.com/main/search?q=%E5%B7%9D%E5%86%85%E9%AB%98%E5%9F%8E%E6%B8%A9%E6%B3%89,未,写真AC/川内高城温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
29,妙見温泉,鹿児島・霧島,https://www.photo-ac.com/main/search?q=%E5%A6%99%E8%A6%8B%E6%B8%A9%E6%B3%89,未,写真AC/妙見温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
30,霧島温泉郷,鹿児島・霧島,https://www.photo-ac.com/main/search?q=%E9%9C%A7%E5%B3%B6%E6%B8%A9%E6%B3%89%E9%83%B7,未,写真AC/霧島温泉郷.jpg,hero,写真AC,AC Works License(クレジット不要),
31,指宿温泉,鹿児島・指宿,https://www.photo-ac.com/main/search?q=%E6%8C%87%E5%AE%BF%E6%B8%A9%E6%B3%89,未,写真AC/指宿温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
32,湯川内温泉,鹿児島・出水,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E5%B7%9D%E5%86%85%E6%B8%A9%E6%B3%89,未,写真AC/湯川内温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
33,蔵王温泉,山形・蔵王,https://www.photo-ac.com/main/search?q=%E8%94%B5%E7%8E%8B%E6%B8%A9%E6%B3%89,未,写真AC/蔵王温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
34,鳴子温泉,宮城・大崎,https://www.photo-ac.com/main/search?q=%E9%B3%B4%E5%AD%90%E6%B8%A9%E6%B3%89,未,写真AC/鳴子温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
35,肘折温泉,山形・大蔵,https://www.photo-ac.com/main/search?q=%E8%82%98%E6%8A%98%E6%B8%A9%E6%B3%89,未,写真AC/肘折温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
36,高湯温泉,福島・福島,https://www.photo-ac.com/main/search?q=%E9%AB%98%E6%B9%AF%E6%B8%A9%E6%B3%89,未,写真AC/高湯温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
37,微温湯温泉,福島・吾妻山,https://www.photo-ac.com/main/search?q=%E5%BE%AE%E6%B8%A9%E6%B9%AF%E6%B8%A9%E6%B3%89,未,写真AC/微温湯温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
